system:index,AOD,date,.geo
MCD19A2_A2019063_h24v05_061_2023124174511_03,352.02269861286254,2019-03-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019063_h24v05_061_2023124174511_04,453.67906976744183,2019-03-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019064_h24v05_061_2023124180544_01,188.750315258512,2019-03-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019064_h24v05_061_2023124180544_03,387.96469104665823,2019-03-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019065_h24v05_061_2023124183502_02,206.45145018915514,2019-03-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019065_h24v05_061_2023124183502_03,226.08827238335437,2019-03-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019066_h24v05_061_2023124185409_03,413.3898305084746,2019-03-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019066_h24v05_061_2023124185409_04,553.6986128625473,2019-03-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019068_h24v05_061_2023124195042_03,175.98234552332912,2019-03-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019068_h24v05_061_2023124195042_04,208.9016393442623,2019-03-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019069_h24v05_061_2023124203707_02,266.81336696090796,2019-03-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019071_h24v05_061_2023124213402_01,521.3770491803278,2019-03-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019071_h24v05_061_2023124213402_03,390.96090794451453,2019-03-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019074_h24v05_061_2023124224247_02,477.24211853720044,2019-03-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019074_h24v05_061_2023124224247_03,348.43757881462807,2019-03-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019075_h24v05_061_2023124231949_03,319.8558139534884,2019-03-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019076_h24v05_061_2023124234723_04,362.43883984867597,2019-03-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019079_h24v05_061_2023125011543_03,383.46910466582597,2019-03-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2019080_h24v05_061_2023125014322_01,303.88398486759144,2019-03-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
